Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Book Series Titles,Book Series Titles_Count
,,,,"da Luz Mathias, Maria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Costa, Raphael Bermal",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Filho, Manoel Santos",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Malheiros, Antonio",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pereira, Neila",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Soares, Herbert",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Brigatti, Edgardo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rocha, Erika Garcez da",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rodrigues, Daniela Méria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gabriel, Sofia I",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Jimenez, Francisco",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Galliez, Maron",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Paula Eduardo, Carlos",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Graciolli, Gustavo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"PENA, HILDA F J",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Alves, L.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dias, André",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Marlene Tiduko Ueta Animal Biology, Unicamp",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lessa, Leonardo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ventura, Karen",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Izar, Patricia",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gentile, Rosana",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Celis, Juan L",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pardini, Renata",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barrouin-Melo, Stella Maria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Almeida, Francisca Cunha",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Astúa, Diego",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Camargo, N. F.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Melo, Geruza Leal",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Jaksic, Fabian M",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Russo, Claudia AM",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Paglia, Adriano P",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
