Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
,,,,"Abdala, Fernando",4,,,,,1.7.203 Visual Perception,1.0,,,,,UNIVERSIDADE ESTADUAL DE GOIAS,3,Federal University Of Pernambuco Centre Of Technology And Geosciences School Of Engineering Of Pernambuco,1,MAMMAL RESEARCH,2,,,,,Inst Nacional Pesquisas Amazonia,1.0,,,,,COORDENAO DE APERFEIOAMENTO DE PESSOAL DE NVEL SUPERIOR,1,,,,,,
,,,,"Ferreira, Fernanda Pinto",4,,,,,1.7.661 Saccades,1.0,,,,,UNIVERSIDADE ESTADUAL DE MARINGA,3,Federal University Of Pernambuco Department Of Geology,1,MICROSCOPIA ELECTRONICA Y BIOLOGIA CELULAR,2,,,,,Inst Tecnologia Parana,1.0,,,,,COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,1,,,,,,
,,,,"de Macedo, Gabriel Carvalho",4,,,,,1.7.694 Theory Of Mind,1.0,,,,,UNIVERSIDADE ESTADUAL DO MARANHAO,3,Federal University Of Rio De Janeiro Department Of Genetics,1,PARASITES VECTORS,2,,,,,Int Inst Ecology,1.0,,,,,COORDINATION FOR THE IMPROVEMENT OF HIGHER EDUCATION PERSONNEL BRAZIL CAPES,1,,,,,,
,,,,"Gentile, Rosana",4,,,,,1.80.279 Vitamin D,1.0,,,,,UNIVERSIDADE FEDERAL DE VICOSA,3,Federal University Of Rio De Janeiro Forum Of Science And Culture,1,PLOS NEGLECTED TROPICAL DISEASES,2,,,,,J Infection Developing Countries,1.0,,,,,CORNELL LAB OF ORNITHOLOGY,1,,,,,,
,,,,"Szabó, Matias Pablo Juan PJ",4,,,,,1.82.751 Myoelectric Control,1.0,,,,,UNIVERSIDADE FEEVALE,3,Federal University Of Rio Grande Do Norte Health Sciences Centre,1,PROTEIN JOURNAL,2,,,,,Museu Nacional-Univ Federal Do Rio De Janeiro,1.0,,,,,CPQRR FIOCRUZ MG,1,,,,,,
,,,,"Perles, Livia",4,,,,,1.82.875 Spinal Cord Injury,1.0,,,,,UNIVERSIDADE LUTERANA DO BRASIL,3,Federal University Of Rio Grande Do Sul Faculty Of Veterinary Medicine,1,REPRODUCTION,2,,,,,NATURE PORTFOLIO,1.0,,,,,DEPARTMENT OF FORESTRY AND RENEWABLE FOREST RESOURCES,1,,,,,,
,,,,"Hannibal, Wellington",4,,,,,2.1.2310 Ozone Chemistry,1.0,,,,,UNIVERSITY OF CALIFORNIA DAVIS,3,Federal University Of Rio Grande Do Sul Institute Of Basic Health Sciences,1,SYSTEMATIC AND APPLIED ACAROLOGY,2,,,,,Nuova Immagine Editrice,1.0,,,,,DIVISION OF INTRAMURAL RESEARCH WITHIN THE NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES NIAID USA AT THE NATIONAL INSTITUTES OF HEALTH NIH USA,1,,,,,,
,,,,"Schijman, A. G.",4,,,,,2.165.679 Additive Manufacturing,1.0,,,,,UNIVERSITY OF CALIFORNIA SYSTEM,3,Federal University Of Vicosa Centre Of Biological And Health Sciences Department Of Biochemistry And Molecular Biology,1,TRANSBOUNDARY AND EMERGING DISEASES,2,,,,,Pensoft Publishers,1.0,,,,,ECOTOP S R L,1,,,,,,
,,,,"Melo, Geruza Leal",4,,,,,2.176.140 Oral Delivery,1.0,,,,,UNIVERSITY OF LONDON,3,Federal University Of Vicosa Department Of Entomology,1,VIRUSES BASEL,2,,,,,Psychonomic Soc Inc,1.0,,,,,ELISE MATHILDE FONDS OF LEIDS UNIVERSITEITS FONDS,1,,,,,,
,,,,"Allegretti, Silmara Marques",3,,,,,3.232.1281 Veterinary Reproductive Health,1.0,,,,,UNIVERSITY OF MELBOURNE,3,Federal University Of Vicosa Department Of Veterinary,1,WILDLIFE RESEARCH,2,,,,,REV LATINOAMER PSICOL,1.0,,,,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA EMBRAPA,1,,,,,,
,,,,"Sangioni, Luis Antonio",3,,,,,3.232.1715 Canine Orthopedics,1.0,,,,,UNIVERSITY OF NORTH CAROLINA,3,Gifu University Faculty Of Applied Biological Sciences Graduate School Of Applied Biological Sciences,1,ZOOLOGISCHER ANZEIGER,2,,,,,ROYAL SOC TROPICAL MEDICINE,1.0,,,,,ERIC GUILER FOUNDATION,1,,,,,,
,,,,"Ponce-Soto, Luis Alberto",3,,,,,3.32.1638 Forensic Entomology,1.0,,,,,UNIVERSITY OF NORTH CAROLINA CHARLOTTE,3,Institute Biology Leiden University,1,ZOOMORPHOLOGY,2,,,,,Revista De Saude Publica,1.0,,,,,ESRI CONSERVATION PROGRAM,1,,,,,,
,,,,"Vogel, Fernanda Silveira Flores",3,,,,,3.35.33 Avian Ecology,1.0,,,,,UNIVERSITY OF NOTTINGHAM,3,Institute Biomed Science University Sao Paulo,1,ZOOTAXA,2,,,,,Soc Brasil Genetica,1.0,,,,,EUROPEAN FUNDS THROUGH COMPETE BY THE FCT,1,,,,,,
,,,,Fernando Spilki,3,,,,,3.35.434 Sexual Selection,1.0,,,,,UNIVERSITY OF WITWATERSRAND,3,Kafrelsheikh University Faculty Of Veterinary Medicine,1,ACTA AMAZONICA,1,,,,,Soc Brasileira Entomologia,1.0,,,,,EUROPEAN UNION EU,1,,,,,,
,,,,"Fornazari, Felipe",3,,,,,3.35.693 Primate Behavior,1.0,,,,,AMERICAN MUSEUM OF NATURAL HISTORY AMNH,2,Kochi Medical School,1,ACTA ANATOMICA,1,,,,,Soc Brasileira Paleontologia,1.0,,,,,EXPLORERS CLUB,1,,,,,,
