Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
,,,,"Cruz, Leticia R.",2,,,,,,,,,,,MUSEO LA PLATA,1.0,,,THERIOGENOLOGY WILD,1.0,,,,,,,,,,,NSF DIRECTORATE FOR BIOLOGICAL SCIENCES BIO,1.0,,
,,,,"Guimarães, Erick Vaz",2,,,,,,,,,,,NATIONAL UNIVERSITY OF LA PLATA,1.0,,,VECTOR BORNE AND ZOONOTIC DISEASES,1.0,,,,,,,,,,,OSWALDO CRUZ INSTITUTE FIOCRUZ,1.0,,
,,,,"Maroja, Luana",2,,,,,,,,,,,NOVOSIBIRSK STATE UNIVERSITY,1.0,,,ZOOKEYS,1.0,,,,,,,,,,,OSWALDO CRUZ INSTITUTE IOC FIOCRUZ,1.0,,
,,,,"De Souza, Wanderley",2,,,,,,,,,,,SECRETARIA ESTADO SAUDE SANTA CATARINA,1.0,,,,,,,,,,,,,,,PAN AMERICAN HEALTH ORGANIZATION,1.0,,
,,,,"NEVES, MARIANA MACHADO",2,,,,,,,,,,,SECRETARIA MUNICIPAL SAUDE,1.0,,,,,,,,,,,,,,,PAPES III FIOCRUZ,1.0,,
,,,,"Pires, Alexandra S",2,,,,,,,,,,,SECRETARIA SAUDE ESTADO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,PDA MMA,1.0,,
,,,,"Paglia, Adriano P",2,,,,,,,,,,,SIBERIAN BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES,1.0,,,,,,,,,,,,,,,PIE CNPQ,1.0,,
,,,,"Araújo, Naiara P",1,,,,,,,,,,,UNIV FED ESPIRITO SANTO,1.0,,,,,,,,,,,,,,,PLATAFORMA DE MICROSCOPIA ELETRONICA DO INSTITUTO OSWALDO CRUZ IOC,1.0,,
,,,,"Valim, Michel P.",1,,,,,,,,,,,UNIVERSIDAD DE TARAPACA,1.0,,,,,,,,,,,,,,,POSTGRADUATE PROGRAMMME IN CIENCIAS DA SALIDE IRR,1.0,,
,,,,"Arantes-Pereira, Lucas",1,,,,,,,,,,,UNIVERSIDADE BANDEIRANTE DE SAO PAULO,1.0,,,,,,,,,,,,,,,PPBIO CNPQ MMA,1.0,,
,,,,"Costa, Leonora Pires",1,,,,,,,,,,,UNIVERSIDADE CATOLICA DE BRASILIA,1.0,,,,,,,,,,,,,,,PPBIO REDE BIOMA,1.0,,
,,,,"Facure, Katia",1,,,,,,,,,,,UNIVERSIDADE CATOLICA DOM BOSCO UCDB,1.0,,,,,,,,,,,,,,,PRO BIO MMA,1.0,,
,,,,"Borodin, Pavel",1,,,,,,,,,,,UNIVERSIDADE DE BRASILIA,1.0,,,,,,,,,,,,,,,PRODEAGRO,1.0,,
,,,,"Bergallo, Helena Godoy",1,,,,,,,,,,,UNIVERSIDADE DO VALE DO RIO DOS SINOS UNISINOS,1.0,,,,,,,,,,,,,,,RESEARCH AND PRODUCTIVITY PROGRAM OF UNESA,1.0,,
,,,,"Nogueira-Silva, Cristina",1,,,,,,,,,,,UNIVERSIDADE ESTACIO DE SA,1.0,,,,,,,,,,,,,,,RUSSIAN FOUNDATION FOR BASIC RESEARCH RFBR,1.0,,
,,,,"Paresque, Roberta",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,1.0,,,,,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ UESC,1.0,,
,,,,"Rego, Felipe Dutra",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE,1.0,,,,,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,1.0,,
,,,,"Amaro, Renata C",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,1.0,,,,,,,,,,,,,,,VALLOUREC SA,1.0,,
,,,,"Pieczarka, Julio C",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1.0,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Leonardo",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SAO CARLOS,1.0,,,,,,,,,,,,,,,,,,
,,,,"Vianna-Morgante, Angela M",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE UBERLANDIA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Kuhn, Gustavo CS",1,,,,,,,,,,,UNIVERSITY OF BUENOS AIRES,1.0,,,,,,,,,,,,,,,,,,
,,,,"Marroig, Gabriel",1,,,,,,,,,,,UNIVERSITY OF CALIFORNIA BERKELEY,1.0,,,,,,,,,,,,,,,,,,
,,,,"Lino-Neto, José",1,,,,,,,,,,,UNIVERSITY OF CALIFORNIA SYSTEM,1.0,,,,,,,,,,,,,,,,,,
,,,,"Gurgel-Goncalves, Rodrigo",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN,1.0,,,,,,,,,,,,,,,,,,
,,,,"Karamysheva, Tatyana",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN SYSTEM,1.0,,,,,,,,,,,,,,,,,,
,,,,"Pinheiro, Jairo",1,,,,,,,,,,,UNIVERSITY OF MUNICH,1.0,,,,,,,,,,,,,,,,,,
,,,,"Queiroz Morcatty, Thais",1,,,,,,,,,,,ZOOLOGICAL INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCES,1.0,,,,,,,,,,,,,,,,,,
,,,,"Gontijo, Celia MF",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Yazbeck, Gabriel M.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lira, Paula",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Fernandes, Jorlan",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Neves, Renata Heisler",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Machado-Silva, José Roberto",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Nagamachi, Cleusa",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lessa, Gisele",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Percequillo, Alexandre",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Galiano, Daniel",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Camargo, Nícholas F",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Rozental, Tatiana",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Munhoz, Alexandre Dias",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Menezes, Rodolpho Santos Telles",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Moratelli, Ricardo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gonçalves, Pablo R",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Albuquerque, George Rego",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Carmignotto, Ana Paula",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Costa-Neto, Socrates F",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Leite, Yuri L. R.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Svartman, Marta",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Magnusson, William Ernest",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
