Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
,,,,"Machado, Alex",2,,,,,,,,,,,CTR INVEST CIENT TRANSFERENCIA TECNOL PROD CONI,1,University Of Pecs Institute Of Biology,1.0,REPRODUCTIVE BIOLOGY AND ENDOCRINOLOGY,1.0,,,,,,,,,,,FUNDACAO ARAUCARIA DE APOIO AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO DO ESTADO DO PARANA FA,1,,
,,,,"Fernandes, Jorlan",2,,,,,,,,,,,CTR INVEST TRANSFERENCIA NOROESTE PROV BUENOS A,1,University Of Rome La Sapienza Department Of Biology And Biotechnology Charles Darwin,1.0,REVISTA BRASILEIRA DE PALEONTOLOGIA,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,1,,
,,,,"Layme, Viviane",2,,,,,,,,,,,CTR UNIV SUDOESTE PAULISTA,1,University Of Rome La Sapienza Faculty Of Mathematical Physical And Natural Sciences,1.0,REVISTA BRASILEIRA DE ZOOLOGIA,1.0,,,,,,,,,,,FUNDACAO OSWALDO CRUZ FIOCRUZ BRAZIL,1,,
,,,,"Vieira, Thallitha",2,,,,,,,,,,,ECOL APLICADA PESQUISA ENSINO SERV AMBIENTAIS,1,University Of Sao Paulo Department Of Microbiology,1.0,REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO,1.0,,,,,,,,,,,FUNDACION PROYUNGAS,1,,
,,,,"Murcia, Pablo R",2,,,,,,,,,,,FAC FORMACAO PROF UERJ,1,University Of St Andrews Faculty Of Science,1.0,REVISTA MEXICANA DE BIODIVERSIDAD,1.0,,,,,,,,,,,FUNDACO DE AMPARO A PESQUISA DO RIO DE JANEIRO,1,,
,,,,"Santos, Fernando de Oliveira",2,,,,,,,,,,,FDN PROYUNGAS,1,University Of St Andrews School Of Biology,1.0,SCIENCE OF THE TOTAL ENVIRONMENT,1.0,,,,,,,,,,,FUNDO EUROPEU DE DESENVOLVIMENTO REGIONAL,1,,
,,,,"Modha, Sejal",2,,,,,,,,,,,FED UNIV VALE SAO FRANCISCO,1,Vetsuisse Faculty Bern And Zurich,1.0,SYMMETRY BASEL,1.0,,,,,,,,,,,FUNDO SOCIAL EUROPEU III QUADRO COMUNITARIO DE APOIO,1,,
,,,,"Camargo, Nícholas F",2,,,,,,,,,,,FIOCRUZ MATA ATLANTICA FIOCRUZ,1,,,TROPICAL MEDICINE AND INFECTIOUS DISEASE,1.0,,,,,,,,,,,GRADUATE PROGRAM IN BIODIVERSITY AND HEALTH OF THE OSWALDO CRUZ INSTITUTE PGBS IOC FIOCRUZ,1,,
,,,,"Rozental, Tatiana",2,,,,,,,,,,,FUNDACAO FLORESTAL,1,,,VECTOR BORNE AND ZOONOTIC DISEASES,1.0,,,,,,,,,,,GRADUATE PROGRAM ON ECOLOGY PPG ECOLOGIA,1,,
,,,,"Shaw, Jeffrey Jon",2,,,,,,,,,,,FUNDACAO ZOOBOT RIO GRANDE DO SUL,1,,,VIROLOGY,1.0,,,,,,,,,,,HIGHER EDUCATION INSTITUTIONAL EXCELLENCE PROGRAMME OF THE MINISTRY OF HUMAN CAPACITIES IN HUNGARY,1,,
